colour	x	y	showSelectedlegendcolour	clickSelects	PANEL
#377EB8	12	0.0034828660030746	1	1	1
#4DAF4A	30	0.00790719886062278	2	2	1
#984EA3	10	0.0117162793872448	3	3	1
#FF7F00	11	0.0186382697997517	4	4	1
#377EB8	4	0.00516118572385005	1	1	2
#4DAF4A	6	0.0035724499762595	2	2	2
#984EA3	6	0.00468535955780214	3	3	2
#FF7F00	2	0.00282498937643732	4	4	2
#377EB8	7	0.00198417422914289	1	1	3
#4DAF4A	1	0.00284491387720516	2	2	3
#984EA3	4	0.0013365718454944	3	3	3
#FF7F00	6	0.00119640676937876	4	4	3
#377EB8	8	0.00656245444778837	1	1	4
#4DAF4A	6	0.0100245210235583	2	2	4
#984EA3	9	0.00749227283506004	3	3	4
#FF7F00	15	0.00613227127188028	4	4	4
