group	x	y	key
1	-0.6724566842895	0.732622431992172	1
2	0.864266816759482	0.519910787908256	3
3	2.54103894997388	0	4
4	-0.991590344812721	0.657264662972612	5
5	2.72337634302676	0.461881844637028	7
6	1.30398896243423	0.130637723705355	8
7	1.1455702194944	0.380679144483062	9
8	-0.970127125503495	0.843385579123219	11
9	-1.11721623735502	0.475234765620175	12
10	1.43511423328891	0.598783891363468	13
11	1.84920709999278	0.154239408809169	15
12	0.488496210426092	0.39658832426613	16
13	1.58809254132211	0.401803917508463	17
14	-0.0998241028282791	0.7782293159676	19
15	1.88722610659897	0.693375234920279	20
16	2.67352615552954	0.459683195844837	21
17	1.25836883042939	0.676696011679529	23
18	-1.37222452019341	0.641353705392636	24
19	-0.66389665636234	0.327626545489305	25
20	-1.93304833420552	0.592967494827401	27
21	-0.0880602146498859	0.694724733983512	28
22	2.34845422860235	0.472826936167876	29
23	0.410400577355176	0.601412335123652	31
24	0.997829127125442	0.346955034810295	32
25	0.467706535244361	0.587057233151158	33
26	2.13686659303494	0.86211323711508	35
27	1.34233369096182	1	36
28	1.9711993036326	0.408622600390846	37
29	1.61855473020114	0.644642684175911	39
30	0.0563721482176334	0.467106580324249	40
31	-0.139380501816049	0.698151491525457	2
32	2.49194842483848	0.48698839470875	6
33	-1.69106864766218	0.606409040675901	10
34	-0.079481408931315	0.487573745930572	14
35	2.95953047415242	0.486186163862189	18
36	-0.93928739358671	0.437304444486961	22
37	-0.069429537281394	0.322905982510206	26
38	-0.298255016561598	0.723082881656651	30
39	-1.06891199294478	0.216635368571274	34
40	-1.46028187056072	0.238104840334986	38
41	-0.6724566842895	0.698686974509465	1
42	0.864266816759482	0.672226497825941	3
43	2.54103894997388	0.825566818567301	4
44	-0.991590344812721	0.175380207081366	5
45	2.72337634302676	0.576208778378794	7
46	1.30398896243423	0.855856565028157	8
47	1.1455702194944	0.633676312122868	9
48	-0.970127125503495	0.362742934533452	11
49	-1.11721623735502	0.161436671324959	12
50	1.43511423328891	0.74652743428921	13
51	1.84920709999278	0.527437053117087	15
52	0.488496210426092	0.555289456864543	16
53	1.58809254132211	0.610408226852364	17
54	-0.0998241028282791	0.433614666488721	19
55	1.88722610659897	0.633507356951966	20
